Acronym,Definition,Meaning,Department,Team/Area
ENCA,Evaluation National Curriculum Assessment,Source: The Knowledge accessed 2019-06-03,DfE,
ENIC,European Network of Information Centres,"UK NARIC was the UK's National Agency responsible for providing information and opinion on academic, vocational and professional qualifications from across the world. As the National Agency, managed on behalf of the UK Government, UK NARIC provide the only official source of information on international education and training systems and qualifications and skills attained outside the UK. UK ENIC is the UK National Information Centre for the recognition and evaluation of international qualifications and skills. Following the UK's departure from the European Union, the UK NARIC recognition agency function has to change from a NARIC (which is an EU-only title) to an ENIC (the wider European title for national recognition agencies) in order to meet the UK's continuing treaty obligations under the Lisbon Recognition Convention. Therefore, on 1 March 2021, the UK NARIC agency title becomes UK ENIC, operated and managed by Ecctis Limited. Source accessed 2021-04-19",DfE,
ENT,Electronic Notification Template,,,
ENTO,Employment National Training Organisation,,DfE,
EO,Executive Order,,BEIS,UK Vaccines Taskforce
EO,Executive Officer,A Grade within the Civil Serice,Civil Service Wide,
EO (civil service grade),Executive Officers,,DfE,
EOA,Examination Officers Association,"The International Examination Officers' Association (iEOA) has evolved from its foundation organisation the Examination Officers' Association (EOA) founded by Andrew Harland with a number of other teaching exam officers back in 2000. That lobby group transformed the EOA into a professional body to help represent the exams officer community in 2005 when it was registered as a charity and not-for-profit organisation. The iEOA like its predecessor remains the only independent professional organisation of its kind in the UK and abroad and will continue to lobby establishment on behalf of its community through its strong charitable ethos. But unlike its predecessor which was supported and funded by government around the supporting the exam systems in operation, the iEOA is returning to its roots that revolve around centre needs and those communities and not just around facilitating an exam system in which this community has had very little say in or influence on over the years. Source: {iEOA website|https://www.examofficers.org.uk/about-us} accessed 2019-06-06",DfE,
EOC,Equal Opportunities Commission,Ceased to exist on 31 March 2009. Was subsumed into the Equality and Human Rights Commission.,DfE,
EOC,Equal Opportunities Commission,,DfE,
EOF,Employment Opportunities Fund,"An interdepartmental fund to support the achievement of the government's welfare to work objectives.Source: Department for Education and Employment and Office for Standards in Education., (2001). Departmental Report: The Government's Expenditure Plans 2001-02 to 2003-04 and Main Estimates 2001-02 Cm 5102. London: The Stationery Office [ISBN: 0101510225]",DfE,
EOI,Expression of Interest,,BEIS,UK Vaccines Taskforce
EOI,Expression of Interest,,Defra,Major Projects & Digital Delivery 
EOI ,Expression of Interest,,DLUHC,
EOP,Employer Ownership Programme,,DfE,
EOTAS,Education Otherwise than at School,Source: The Knowledge accessed 2019-05-30,DfE,
EP (educational),Educational Psychologists,Educational Psychologists (EPs) have a primary role in statutory assessments but they also have an important role in early identification and intervention.,DfE,
EP (parliament),European Parliament,,DfE,
EPAS,Educational Performance Analysis System,"Educational Performance Analysis System (EPAS) is a software system produced by the National Consortium for Examination Results (NCER). EPAS imports pupil performance data from the University of Bath and provides analysis of GCSE, A Level data and Key Stage data matched to GCSE.Source: The Knowledge accessed 2019-05-30",DfE,
EPIC,Education Policy Information Service,Source: The Knowledge accessed 2019-05-30,DfE,
EPICK,"Event, Problem, Incident, Continual Service Improvement and Knowledge Team",,MoJ,
EPMA,Electronic Prescribing and Medicines Administration,,NHSx,Org Wide
EPMO,Electronic Project Management Office (PMO reporting tool),,Defra,Major Projects & Digital Delivery 
EPoA,Enduring Power of Attorney,,MoJ,
EPPE,Effective Provision of Pre-school Education,1997-2004 Longitudinal research project funded by the DfES (2001-2007),DfE,
EPPE 3-11,Effective Pre-school and Primary Education 3-11 project,EPPE 3-11 is an extension of the original EPPE research.,DfE,
EPPSE,Effective Pre-school Primary and Secondary Education project,"1997-2014 In 1997 Effective Pre-School, Primary and Secondary Education (EPPSE) was instigated as the UKs first major study to focus on the effectiveness of early years education. More than 3,000 children were assessed at the start of pre-school (at approximately three years old) and their development monitored as they entered school until they made their post-16 education, training or employment choices. Children were assessed at the start of the study and on entering school at primary ages 6, 7, 10 and 11 and secondary ages 14 and 16. A sample of children with no pre-school experience was used as a comparison to the main study. Source: {UCL|https://www.ucl.ac.uk/ioe/research-projects/2019/mar/effective-pre-school-primary-and-secondary-education-project-eppse} accessed 2019-06-18",DfE,
EPR,End of Posting Review,,Cabinet Office,Fast Stream
EPR,End of Project review,,,
EPSI&RD,Early Primary School Improvement and Research Development Programme,Source: The Knowledge accessed 2019-06-06,DfE,
EPSO,European Personnel Selection Office,,DfE,
EPSRC,Engineering and Physical Sciences Research Council,"EPSRC is the main UK government agency for funding research and training in engineering and the physical sciences, investing more than 800 million a year in a broad range of subjects - from mathematics to materials science, and from information technology to structural engineering.Source: {EPSRC|https://www.epsrc.ac.uk/about/} accessed 2016-07-20",DfE,
EPWG,Educational Psychologists Working Group,Source: The Knowledge accessed 2019-05-30,DfE,
EQA,External quality assurance,,DfE,
EQIA,Equality impact assessments,,DfE,
EQUIP,Excellence and Quality in Probation Processes,,MoJ,
ER,Evidence Requirements,,,
ER (employer),Employer Responsive,"Employer Responsive Business Definition DEFINITION 1. One of three demand led models used to calculate funding, the Employer Responsive Model supports provision driven by employer choice, encompassing Train To Gain, Apprenticeships for Adults (over 19) and Further Education (FE) provision delivered on employers' premises. DETAILED DESCRIPTION 2. The model covers all employer-facing activity, including Skills for Life, Level 2, Level 3 and above and Adult Apprenticeships. 3. Skills brokers play a major part in helping employers to choose the programmes that meet their business needs, and provision is mainly delivered on the employers' premises. Last date modified: December 2012Source: {The National Archives|https://webarchive.nationalarchives.gov.uk/20140104152801/http://www.thedataservice.org.uk/datadictionary/businessdefinitions/Employer_Resp_Business_Def.htm} accessed 2019-08-01",DfE,
ER (rollout),Early Rollout,,DfE,
ERA 1988,Education Reform Act 1988,,DfE,
ERASMUS,EuRopean Community Action Scheme for the Mobility of University Students,,DfE,
ERCC,Employer Contributions Collection,,DfE,
ERD,Entity Relationship Diagram,,DfE,
ERDF,European Regional Development Fund,,DfE,
ERG,Efficiency and Reform Group (part of CO),,,
ERG (departmental organisational unit),Efficiency and Reform Group,Source: The Knowledge accessed 2019-06-06,DfE,
ERG (external reviews),External reviews of governance,A review of governance looks at how well your schools governing body is working. An external system leader works with your chair of governors to improve the performance of the governing body.Source: {GOV.UK|https://www.gov.uk/reviews-of-school-governance} accessed 2015-06-02,DfE,
eRGF,Exceptional Regional Growth Fund,,BEIS,UK Vaccines Taskforce
ERIC,,,MoJ,
ERNAPE,European Research Network about Parents in Education,"ERNAPE is the European Research Network about Parents in Education. It is an association of networks organised by areas. Each network is autonomous. In October 1993, with financial support from the European Commission, a group of researchers working in the field of parents in education in different parts of Europe met in Glasgow to discuss how to increase contact across Europe, to exchange knowledge of research developments in Europe and to stimulate research about parents in education at all levels, including intercultural European research. The group decided to establish ERNAPE and to organise this research network by language areas, rather than by countries. The term ""parents in education"" is intended to include both the relationship of parents to school systems and the contributions which parents and families make to their child's learning outside school. The field of research about parents in education and families in education is increasingly being recognised as vitally important. ERNAPE will be relevant to anyone researching in the areas of education, educational administration, educational psychology, educational sociology and related disciplines. ERNAPE will also be of interest to parents, teachers and their organisations. ERNAPE is an independent body, not tied to any political, religious or other ideological groups. The purposes of ERNAPE are: information exchange between researchers and organisations; interaction in doing research: design of joint programmes, analysis and reflection on parents in education; stimulating awareness of the field; supporting/educating young researchers in the field of parents in education.  Links/Further InformationSource: {Website|http://www.ernape.net} accessed 2021-03-01Source: The Knowledge accessed 2019-06-06",DfE,
ERP,Enterprise Resource Planning,,MoJ,
ERR (employment),Employment Rights and Responsibilities,,DfE,
ERR (reading),Early Reading Research,,DfE,
ERS,Early Removal Scheme,,MoJ,
ERSED,Early Removal Scheme Eligibility Date,,MoJ,
ES,Employment Service,,DfE,
ES,Employment Service,,,
ESA,End of Scheme Assessment,,Cabinet Office,Fast Stream
ESA,Employment and Support Allowance,,DWP,
ESA (C),Employment and Support Allowance (Contributory),,DWP,
ESA (IR),Employment and Support Allowance (Income Related),,DWP,
ESAC,Select Committee on Education Science and the Arts,,DfE,
ESARD (departmental organisational unit),Education Standards Analysis and Research Division,Year(s) active (where known): 2013,DfE,
ESCOM,Employment Services Communications System,"Source: Department for Education and Employment and Office for Standards in Education., (1998). Departmental Report: The Government's Expenditure Plans for 1998-99 Cm 3910. London: The Stationery Office [ISBN 0101391021]",DfE,
ESCS,Education Skills and Childrens Services,,DfE,
ESCS ISB,Education Skills and Childrens Services Information Standards Board,,DfE,
ESD (departmental organisational unit),Education Standards Directorate,Year(s) active (where known): 2013,DfE,
ESD (electronic),Electronic Service Delivery,Source: The Knowledge accessed 2019-06-06,DfE,
ESD (sustainable),Education for Sustainable Development,Source: The Knowledge accessed 2019-06-06,DfE,
ESF,European Social Fund," The European Social Fund (ESF) was created under the Treaty of Rome in 1957 to improve job opportunities by promoting employment and increasing the geographical and occupational mobility of workers across the six founding Member States. They were France, Germany, Italy, Belgium, the Netherlands and Luxembourg. Over the years ESF has experienced many changes. Social and economic evolution, the changing nature of EU policies, and enlargement have all played their part in how ESF operates today.  In England ESF has been made simpler and more flexible. There is a single ESF programme for England with just two main priorities for employment and skills. The role of regional partnerships has been strengthened and ESF targeted to address distinctive regional and local needs. ESF has seen many changes over the past 50 years, but throughout this time it has remained faithful to its original objective of improving the employment prospects of Europes citizens. 2000 to 2006 ESF Programme ",DfE,
ESF,European Social Fund,,DWP / MHCLG,
ESF,European Social Fund,Provides funding via the CFO to provide additional services to offenders,MoJ,
ESFA,Education and Skills Funding Agency,"The Education Funding Agency and Skills Funding Agency are to merge to become one body, the Secretary State for Education announced today (Tuesday 28 March 2017). The new, single funding agency - to be called the Education and Skills Funding Agency - will sit within the Department for Education and begin to operate from April 2017.Source: {GOV.UK|https://www.gov.uk/governmentewsew-agency-to-provide-joined-up-education-and-skills-funding} accessed 2017-03-31",DfE,
ESFL,English for speakers of foreign languages,,DfE,
ESG,Education Support Grants,,DfE,
ESGE,Expenditure Steering Group (Education),,DfE,
ESL,English as a Second Language,,DfE,
ESLT,Extended Senior Leadership Team,,DfE,
ESO (education),Education Services Officers,Source: The Knowledge accessed 2019-06-06,DfE,
ESO (supervision),Education supervision orders,,DfE,
ESOL,English for Speakers of Other Languages,,DfE,
ESP (education),Education Support Partnership,,DfE,
ESP (employability),Employability Skills Programme,,DfE,
ESR,Electronic Staff Record (NHSE/I),,NHSx,Org Wide
ESRC,Economic and Social Research Council,"ESRC is the UK's largest organisation for funding research on economic and social issues. They support independent, high quality research which has an impact on business, the public sector and civil society. We [ESRC] are a non-departmental public body (NDPB) established by Royal Charter in 1965.Source: {ESRC|http://www.esrc.ac.uk/about-us/what-we-do/} accessed 2016-07-20",DfE,
ESRT (departmental organisational unit),Education Standards Research Team,Year(s) active (where known): 2013,DfE,
ESS,Education Standard Spending,Source: The Knowledge accessed 2019-06-03,DfE,
ESSA,Education Standard Spending Assessments,,DfE,
ESW,Educational Social Workers,Source: The Knowledge accessed 2019-06-06,DfE,
ET,RPA Executive Team,,Defra,Major Projects & Digital Delivery 
ET,Employment Tribunal,"Also stands for 'E.T. the Extra-Terrestrial', a 1982 sci-fi movie about a loveable alien.",MoJ,
ET,Executive Team,,Not Limited to CS,
ET,Executive Team,,,
ETD,Early Transfer Date,,MoJ,
ETDA,Education and Training Development Agenda,Source: The Knowledge accessed 2019-06-03,DfE,
ETE,"Education, Training & Employment",,MoJ,
ETF,Evaluation Task Force,"The Evaluation Task Force (ETF), a joint Cabinet Office (CO) and His Majesty’s Treasury (HMT)
 unit, was set up following the 2020 Spending Review to improve people’s
 lives by ensuring robust evidence on the effectiveness of policies and 
programmes sits at the heart of government spending decisions.",Cabinet Office,Delivery Group
ETF,Evaluation Task Force,,Cabinet Office,Delivery Group
ETF,Education and Training Foundation,"The Education and Training Foundation (ETF) was established in October 2013. The ETF receives grant funding of just under 23m from BIS, DfE and MOJ. In addition, we generate commercial income and receives additional grants from a variety of sources. We (ETF) are owned by the FE and training sector. On behalf of the whole sector, three Founder Members appoint the majority of our board. The Founder members are the Association of Colleges (AoC), the Association of Employment and Learning Providers (AELP), and the Association of Adult Education and Training Organisations (AAETO), operating through the Holex and LEAFEA networks.Source: {Education and Training Foundation website|http://www.et-foundation.co.uk/about-us/} accessed 2016-07-19",DfE,
ETF (environmental),Environmental Task Force,"1997-? One of four options for young people on the New Deal where the long-term unemployed elected to do six months environmental work to benefit the community. In so doing, they received training and acquire the job skills required by future employers.",DfE,
ETF (European),European Training Foundation,,DfE,
ETG (departmental organisational unit),Education and Training Group,Source: The Knowledge accessed 2019-06-03,DfE,
ETL,"Extract, Transform & Load",,MoJ,
ETP,Employer Training Pilots,"2002-05. Launched by the Treasury in September 2002 with six pilots in different areas of England. Expanded to 18 pilots between 2003 and 2004. Superseded by the National Employers Training Programme. Further information below from The Knowledge accessed 2019-06-05 Employer Training Pilots (ETPs) offered subsidised training to small and medium-sized enterprises to help them develop their workforces. The ETPs were launched in September 2002 by the Chancellor of the Exchequer. Led by the Learning and Skills Council (LSC), they encouraged employers to train low-skilled employees by refunding the cost of giving low-skilled employees paid time off work to take education and training courses.  There were three rounds of pilots, the first started in September 2002, the second in September 2003 and the third in September 2004. They targeted the most vulnerable and low-skilled sections of the workforce in hard-to-reach, small companies that would otherwise not take part in, or are unable to afford, training. As announced in the 2005 Skills Strategy, the ETPs have been superseded by the National Employers Training Programme.",DfE,
ETS,Enhanced Thinking Skills,A course that prisoner can do to to address the attitudes and thought patterns that may of contributed to their offending,MoJ,
EU,European Union,,Civil Service Wide,
EU,European Union,,DfE,
EU-TCA,EUROPEAN TRADE CO-OPERATION AGREEMENT,,DIT,
EUA,Emergency Use Authorisation,,BEIS,UK Vaccines Taskforce
EUI,European University Institute,,DfE,
EUIT,European International Trade,,Defra,Major Projects & Digital Delivery 
EURES,European Employment Services,"Source: Department for Education and Employment and Office for Standards in Education., (1998). Departmental Report: The Government's Expenditure Plans for 1998-99 Cm 3910. London: The Stationery Office [ISBN 0101391021]",DfE,
EUV+,existing use value plus,"To define land value for any viability assessment, a benchmark land value should be established on the basis of the existing use value (EUV) of the land, plus a premium for the landowner. The premium for the landowner should reflect the minimum return at which it is considered a reasonable landowner would be willing to sell their land. The premium should provide a reasonable incentive, in comparison with other options available, for the landowner to sell land for development while allowing a sufficient contribution to fully comply with policy requirements. Landowners and site purchasers should consider policy requirements when agreeing land transactions. This approach is often called ‘existing use value plus’ (EUV+).",DLUHC,
EVAST,Environmental value scenario tool,Defra funded consortium in collaboration with UKCEH and modelling partners,Defra,
EVL,Electronic Vehicle License,,,
EVS,European Voluntary Service,Source: The Knowledge accessed 2019-06-03,DfE,
EWO,Education Welfare Officers,,DfE,
EWS,Education welfare service,,DfE,
ExCo,Executive Committee,,BEIS,UK Vaccines Taskforce
ExCo,Executive Committee,,Defra,Major Projects & Digital Delivery 
ExCo,Executive Comity Board,Permanent Secutary and Director Generals (6 of).,MoJ,
EXHIBIT,See XHIBIT,,MoJ,
EXISS,Exchange Integration Services Stream,,MoJ,
Extradition,only registered solicitor can go,,MoJ,
EY,Early Years,Source: The Knowledge accessed 2019-06-06,DfE,
EYC,Early years census,"Collects information about private, voluntary and independent Early Years Settings with children in receipt of funded places.Source: {GOV.UK|https://www.gov.uk/government/collections/early-years-census} accessed 2015-06-02",DfE,
EYDCCP,Early Years Development and Childcare Partnerships,"1997-?. Convened by LEAs to bring together all the parties (including schools and other providers, parents, employers and colleges) to develop early education and childcare services in their areas and to draw up, implement and monitor their annual plans.",DfE,
EYDCP,Early Years Development and Childcare Partnerships,"1997-?. Convened by LEAs to bring together all the parties (including schools and other providers, parents, employers and colleges) to develop early education and childcare services in their areas and to draw up, implement and monitor their annual plans.",DfE,
EYDP,Early Years Development Plan,,DfE,
EYFS,Early Years Foundation Stage,"A comprehensive statutory framework that sets the standards for the learning, development and care of children from birth to five. Source: {GOV.UK|https://www.gov.uk/government/collections/early-years-foundation-stage} accessed 2015-06-02 Further information below from The Knowledge accessed 2019-06-05 The Early Years Foundation Stage (EYFS) Framework was launched on 13 March 2007 and became effective from September 2008.  The Childcare Act 2006 provides the legislative basis for the establishment and delivery of the EYFS Framework.",DfE,
EYFSP,Early Years Foundation Stage Profile,"A way of summing up each child's progress and learning needs at the end of the foundation stage, for most children the end of the reception year in primary school.",DfE,
EYNFF,Early Years National Funding Formula,,DfE,
EYPP,Early Years Pupil Premium,,DfE,
EYPS,Early Years Professional Status,Early Years Professional Status is no longer available and was replaced by Early Years Teacher Status in 2013.  Early Years Professional Status (EYPS) is a programme to provide graduate practitioners with the skills to lead high quality practice in Early Years.,DfE,
EYR,Early Years Register,"Established by the Childcare Act 2006, a register for childcare for children up to the age of 5. Additional information below from The Knowledge accessed 2019-06-06 The Early Years Register (EYR) replaced the existing Ofsted registration arrangements for childcare (for children from birth to five) from September 2008. The EYR has been introduced alongside the Ofsted Childcare Register as part of the new arrangements introduced under the Childcare Act 2006. The EYR will be compulsory for most providers working with young children until the August following their fifth birthday.  Unless exempt, the following providers must be registered on the Early Years Register: maintained and independent schools directly responsible for provision for children from birth to the age of three; child carers, such as childminders, day nurseries, pre-schools and private nursery schools, which provide childcare for children from birth to the 31 August following their fifth birthday. Certain categories of care are exempt from compulsory registration for example short term care such as creches.  Providers who are registered on the EYR will be required to offer care and early learning in order to meet the requirements of the Early Years Foundation Stage.",DfE,
EYSG (departmental organisational unit),Early Years and Schools Group,Year(s) active (where known): 2018-,DfE,
EYSPI,Early Years Starting Points Indicators,Source: The Knowledge accessed 2019-06-06,DfE,
EYTS,Early years teacher status,,DfE,
EZ,Employment Zones,"September 1998-unknown. Employment Zones was a programme offering practical support to Jobseekers Allowance customers, lone parents and people getting Pension Credit. Employment Zones were run in the following areas: Brent and Haringey, Glasgow, Liverpool and Sefton and Tower Hamlets and Newham.",DfE,
F&S,Forecasting and Scheduling Officer,,,
F2050,prisoner core record,protected characteristics and case information,MoJ,
F2F,Face to Face [meeting],,DfE,
FA,Finance Act,,,
FA,Financial Assessor,,,
FA,Fixed Amount,,,
FA,Fraud Act,,,
FA,Factual Report,,,
FAB,Federation of Awarding Bodies,"FAB was initially formed in 2000 by the four largest vocational awarding bodies, namely: City & Guilds Edexcel Oxford, Cambridge and RSA Examinations Board (OCR) The London Chamber of Commerce and Industry Examinations Board (LCCIEB)Source: The Knowledge accessed 2019-05-07",DfE,
FALA,Find a legal advisor,Public-facing service that allows people to find a legal advisor who holds a contract with the LAA,MoJ,
FAM,Financial Appraisal and Monitoring,Source: The Knowledge accessed 2019-05-07,DfE,
FAMIS,Fraud and Management Information Service,,,
FAnGR,Farm Animal Genetic Resources Committee,,,
FAO (families),Family Assistance Order,A Family Assistance Order is made by a judge or magistrate to help families when parents split up.Source: The Knowledge accessed 2019-05-07,DfE,
FAP,Fair Access Protocols,"The purpose of Fair Access Protocols is to ensure that - outside the normal admissions round - unplaced children, especially the most vulnerable, are found and offered a place quickly, so that the amount of time any child is out of school is kept to the minimum. This is why every local authority is required to have in place a Fair Access Protocol, developed in partnership with local schools.Source: {GOV.UK|https://www.gov.uk/government/publications/fair-access-protocols-in-school-admissions} accessed 2019-08-23",DfE,
FAQ,Frequently Asked Questions,,Not Limted to CS,
FAR,Fixed Asset Register,,,
FAS,Funding Agency for Schools,"The Funding Agency for Schools was an executive Non-departmental public body (NDPB) set up by the Department for Education. It was established on 1 April 1994. (DES Press Notice 88/94 contains its remit letter). For the setting up of the FAS see the Education Act 1993. The Funding Agency for Schools (FAS) was responsible for calculating and paying grants to the governing bodies of Grant Maintained Schools which were provided for under the Education Reform Act 1988. It also monitored the financial position of Grant Maintained schools. The FAS supported Grant Maintained schools on special measures or with serious weaknesses, following an adverse Ofsted inspection. Its remit was extended in its later years to include responsibility for the monitoring and regulation of Grant Maintained schools' commercial borrowing. By 1997 the FAS had shared responsibility with the Local Education Authority (LEA) for secondary provision in 49 LEAs, and for primary provision in 7 LEAs; and full responsibility for secondary provision in 3 LEAs. It closed on 1 November 1999.Source: The Knowledge accessed 2019-05-07",DfE,
FASNA,Foundation and Aided Schools National Association,Source: The Knowledge accessed 2019-05-07,DfE,
FAT,Field Assurance Testing,,,
FATE,Find Answers to Enquiries,2020- Internally facing departmental system which is a replacement for The Knowledge briefing sheets. Was briefly known as Project Athena (January-March 2020).,DfE,
FBC,Full Business Case,"In reference to the The Five Case Model: Full Business Case (FBC) – building on the OBC, taking the chosen option through procurement, putting in place delivery plans and providing the final detailed costing of the scheme. http://www.qafileshare.com/mcw/PCR/PPM/BBCF/DG_01_PPMBBCF-PCR_FiveCaseModelOverview.pdf",Civil Service Wide,
FBP,Finance Business Partner,,Civil Service Wide,Finance
FBP,Finance Business Partners,,DfE,
FBS,Feeder Benefit Systems,,,
FCA,Financial Conduct Authority,"The Financial Conduct Authority (FCA) is a financial regulatory body in the United Kingdom, but operates independently of the United Kingdom government, and is financed by charging fees to members of the financial services industry.",MoJ,
FCA,Forgery and Counterfeiting Act,,,
FCAP,Finance and Commercial Assurance Panel,,NHSx,Org Wide
FCDO,"Foreign, Commonwealth and Development Office",2 September 2020 -  Foreign & Commonwealth Office (FCO) and the Department for International Development (DFID) Merged ,FCDO,
FCERM,Flood and Coastal Erosion Risk Management,,Defra Group,Environment Agency
FCO,Foreign and Commonwealth Office,See FCDO,FCDO,
FCO,Foreign and Commonwealth Office,,MoJ,
FCOS,Foreign and Commonwealth Office Services,A trading fund of the FCO. Providers of IL2 and IL3 web hosting,MoJ,
FCRM,Flood and Coastal Risk Management,,Defra Group,Environment Agency
FCT,Family and Childcare Trust,,DfE,
FCTLW,Free Childcare for Training and Learning for Work,,DfE,
FDA,US Food and Drug Administration,,BEIS,UK Vaccines Taskforce
FDAC,Family Drug and Alcohol Courts,"Family Drug and Alcohol Courts This project provides a problem solving approach to care proceedings, where a team of substance misuse specialists, domestic violence experts, psychiatrists and social workers carry out an early assessment and agree an intervention plan with parents who come before the court in care proceedings. Once in proceedings, parents begin a trial for change, supported by the specialist team and with regular meetings with the judge, who reviews the progress being made as well as adjudicating in the case . The Family Drug and Alcohol Court model has been evaluated previously and found to have strong evidence of a positive effect on family reunification. As well as expanding the model to new sites, innovations of the FDAC model in existing sites will be tested to see if further improvements can be made.Source: {GOV.UK|https://www.gov.uk/governmentews/15-million-investment-to-help-keep-families-safely-together} accessed 2020-08-19",DfE,
FDF,Foundation Degree Forward,Source: The Knowledge accessed 2019-05-07,DfE,
FE,Further education,,DfE,
FEAP,Further Education Application Portal,,DfE,
FEC (colleges),Further education colleges,,DfE,
FEC (commissioner),Further Education Commissioner,"The role of the FE Commissioner is set out in Rigour and Responsiveness in Skills (April 2013). He will provide advice to ministers and the chief executives of the funding agencies on the action necessary to secure swift improvement. He can call on the support of the FE Advisers, who bring with them a range of skills and expertise in financial recovery, change management and curriculum design.Source: {GOV.UK|https://www.gov.uk/governmentewsew-fe-commissioner-to-tackle-poor-performing-fe-colleges} accessed 2016-08-11",DfE,
FECDF,Further Education Competitiveness and Development Fund,Source: The Knowledge accessed 2019-05-07,DfE,
FECF,Further Education Collaboration Fund,"November 1997/unknown. The Fund aimed to increase the efficiency and cost-effectiveness of further education and post-16 provision generally by encouraging collaboration in order to promote mergers and rationalisation, and to improve responsiveness and skill needs.",DfE,
FECRDU,Further Education Curriculum Review and Development Unit,,DfE,
FED,Future Engage Deliver,FED is the leadership framework that DfE has adopted to support our culture change and to give us ideas and concepts which can help us to build our leadership capability at every grade in our department from EA to SCS (Senior Civil Service).Source: DfE accessed 2019-08-01,DfE,
FED,Fraud Error and Debt,,DWP,
FEDA,Further Education Development Agency,FEDA was renamed the Learning and Skills Development Agency in November 2000 to reflect its widened role across the learning and skills sector. Source: The Knowledge accessed 2019-05-07,DfE,
FEDP,Fraud Error and Debt Programme,,DWP,
FEE,Free Early Entitlement,,DfE,
FEESS,Further Education Early Student Statistics,,DfE,
FEFC,Further Education Funding Council,"The Further Education Funding Council for England (FEFC) was a non-departmental public body (NDPB) set up on 1 April 1993. It distributed funding to Further Education and Sixth Form Colleges in England which had formerly been run by Local Education Authorities (LEAs) or voluntary bodies. FEFC was sponsored by the Department for Education and Employment. FEFC was created by the Further and Higher Education Act 1992, following the white paper ""Education and Training for the 21st Century"". HMSO, 1991. Cm 1536. ",DfE,
FEFM,Further education free meals,Advice to help institutions meet the requirement to provide free meals to disadvantaged 16 to 18 year old students in further education (FE).Source: {GOV.UK|https://www.gov.uk/government/publications/further-education-free-meals-advice-for-fe-institutions} accessed 2015-07-20,DfE,
FEIB (departmental organisational unit),Further Education Inspectorate Branch,,DfE,
FELL,"Families, Early Learning and Literacy Research Group",Source: The Knowledge accessed 2019-05-07,DfE,
FENTO,Further Education National Training Organisation,Source: The Knowledge accessed 2019-05-07,DfE,
FEO,Finance Executive Officer,,,
FEPEP,Further Education Procurement Efficiency Programme,Source: The Knowledge accessed 2019-05-07,DfE,
FEPS,Fraud and Error Prevention Service (CFCD Interventions since 2017),,,
FERL,Further Education Resources for Learning,Source: The Knowledge accessed 2019-05-07,DfE,
FERN,Further Education Research Network,Source: The Knowledge accessed 2019-05-07,DfE,
FERSG,Further Education Reputation Strategy Group,,DfE,
FES,Fish Export Service,,Defra,Major Projects & Digital Delivery 
FES,Fraud and Error Service (part of CFCD since 2017),,,
FESD,Further Education System Data [Programme],,DfE,
FESR,Further Education Statistical Records,,DfE,
FEU,Further Education Unit,"This was a special unit set up by the Department of Education and Science in January 1977 as the Further Education Curriculum Review and Development Unit It was a major contributor to curriculum development throughout the further education service. (This was announced on 20 December 1976 in a press notice.) It produced reports and shared offices in Elizabeth House. After January 1983 its name was changed to Further Education Unit and it was changed into a limited company. It commissioned and published research on curriculum. (Announced in PN 296/82.) It became part of FEDA in 1995. FEDA was renamed the Learning and Skills Development Agency in November 2000 to reflect its widened role across the learning and skills sector. LSDA's programmes, research, training and consultancy continue under the banner of the Learning and Skills Network (LSN). LSDA's policy and strategic work has developed into the Quality Improvement Agency (QIA). Source: Knowledge page produced by the LibrarySource: The Knowledge accessed 2019-05-07",DfE,
FEXIT,Further Education EXIT Group,Source: The Knowledge accessed 2019-05-07,DfE,
FF,Further Forces,"In partnership with the Gatsby Charitable Foundation [and the Education and Training Foundation], Further Forces is a scheme to retrain 210 Armed Forces Service Leavers to teach technical subjects, including Science, Engineering and Technology (SET) in the Further Education (FE) and Skills Sector. Service Leavers are supported to find employment, allocated a subject specialist mentor and experience high quality learning experiences while on their fully funded teacher training programme which is delivered flexibly. As well as offering Service Leavers the chance of a rewarding career, the scheme will also support providers, colleges, independent training providers, etc in recruiting highly skilled teachers and trainers in SET subjects where there is a recognised skills shortage. Source: {Education and Training Foundation website|https://www.et-foundation.co.uk/supporting/support-teacher-recruitment/further-forces/} accessed 2019-11-11",DfE,
FF ,Forward Funding,,DLUHC,
FFC,Future Farming & Countryside Program,,Defra,Future Farming
FFCP,Future Farming and Countryside Programme,,Defra,
FFCP,Future Farming and Countryside Programme,,Defra,Future Farming
FfE,Framework for Excellence for the further education system,A new all-inclusive and radical approach to managing performance across the learning and skills sector. It was driven by the LSC Agenda for Change and the Further Education White Paper. Launched 2007.,DfE,
FFEP,Family Friendly Employment Project,Source: The Knowledge accessed 2019-05-07,DfE,
FG (departmental organisational unit),Families Group,Year(s) active (where known): 2013,DfE,
FGC,Family Group Conferences,"This project puts families at the heart of making safe decisions and plans for children that are at immediate risk of being taken into care. Children and young people are involved in the conference along with their wider family network, and often supported by an advocate from outside the family. Together, a plan is agreed by all those involved and families agree to meet again to assess how well the plan is going and make the changes necessary to protect children.Source: {GOV.UK|https://www.gov.uk/governmentews/15-million-investment-to-help-keep-families-safely-together} accessed 2020-08-19",DfE,
FGM,Female genital mutilation,Female genital mutilation (FGM) is illegal in the UK. Its also illegal to take a British national or permanent resident abroad for FGM or to help someone trying to do this. FGM is any procedure thats designed to alter or injure a girls (or womans) genital organs for non-medical reasons. Source: {GOV.UK|https://www.gov.uk/female-genital-mutilation} accessed 2015-06-04,DfE,
